Bib #,First Name,Last Name,M/F,Home Town,State,Country,Nationality,Event,Age,Bib,Wave,Status,Time,Note,# Finishes,# 48h,# 36h
75,Patrycja,Bereznowska,F,Wieliszew,Mazowiecki,Poland,Poland,2019 Badwater 135,43,75,2300,FIN,24:13:24,,1,1,1
70,Olov,Berg,M,Stockholm,SE,Sweden,Sweden,2018 Badwater 135,47,70,2000,FIN,42:41:05,,2,2,
70,Olov,Berg,M,Potomac,Maryland,United States,Sweden,2021 Badwater 135,50,70,2130,FIN,38:02:19,,2,2,
14,Marcus,Berggren,M,Ljusdal,,Sweden,Sweden,2015 Badwater 135,40,14,2300,FIN,33:29:53,,3,3,1
14,Marcus,Berggren,M,Ljusdal,,United States,Sweden,2016 Badwater 135,41,14,2300,FIN,42:43:01,,3,3,1
14,Marcus,Berggren,M,Ljusdal,,Sweden,Sweden,2017 Badwater 135,42,14,2000,FIN,45:14:57,,3,3,1
37,Christopher,Bergland,M,,New York,United States,United States,2003 Badwater 135,37,37,1000,FIN,33:58:37,,2,2,2
4,Christopher,Bergland,M,,New York,United States,United States,2004 Badwater 135,38,4,1000,DNF,,,2,2,2
5,Christopher,Bergland,M,,New York,United States,United States,2005 Badwater 135,39,5,1000,FIN,34:23:59,,2,2,2
19,Jean-Claude,Bertholet,M,,Aargau (Argovia),Switzerland,Switzerland,2004 Badwater 135,62,19,800,DNF,,,,,
18,Ricarda,Bethke,F,Solothurn,,Switzerland,Germany,2015 Badwater 135,51,18,2130,FIN,35:53:21,,2,2,1
18,Ricarda,Bethke,F,Solothurn,,Switzerland,Germany,2017 Badwater 135,53,18,2130,FIN,39:19:30,,2,2,1
52,Mary,Betts,F,Surrey,British Columbia,Canada,Canada,2011 Badwater 135,52,52,600,FIN,39:59:00,,1,1,
47,Thomas,Betz,M,,Baden-Württemberg,Germany,Germany,2004 Badwater 135,47,47,800,FIN,47:43:08,,2,2,
48,Thomas,Betz,M,,Baden-Württemberg,Germany,Germany,2005 Badwater 135,48,48,800,FIN,40:59:24,,2,2,
8,Arun,Bhardwaj,M,New Delhi,Delhi,India,India,2011 Badwater 135,42,8,1000,FIN,41:06:01,,1,1,
9,Divesh,Bhatt,M,Pittsburgh,Pennsylvania,United States,India,2011 Badwater 135,34,9,800,FIN,37:00:32,,1,1,
32,Vito,Bialla,M,,,United States,United States,2002 Badwater 135,53,32,800,FIN,45:52:06,,2,2,
58,Vito,Bialla,M,Tiburon,California,United States,United States,2007 Badwater 135,58,58,800,DNF,,,2,2,
32,Vito,Bialla,M,Tiburon,California,United States,United States,2008 Badwater 135,59,32,800,FIN,41:48:35,,2,2,
14,Natalie,Bickers,F,Palmer,Alaska,United States,United States,2023 Badwater 135,48,14,2000,DNF,,,,,
33,George,Biondic,M,,,Canada,Canada,2002 Badwater 135,49,33,800,FIN,39:33:00,,2,2,
9,George,Biondic,M,,Ontario,Canada,Canada,2004 Badwater 135,51,9,1000,FIN,37:30:00,,2,2,
2,Jay,Birmingham,M,,Nebraska,United States,United States,2003 Badwater 135,57,2,1000,DNF,,,1,,
83,Jay,Birmingham,M,,Nebraska,United States,United States,2004 Badwater 135,58,83,1000,FIN,50:10:15,,1,,
1,Jay,Birmingham,M,Orange Park,Florida,United States,United States,2008 Badwater 135,62,1,600,DNF,,,1,,
43,Michelle,Bischof,F,Prospect,Kentucky,United States,United States,2022 Badwater 135,43,43,2000,FIN,45:52:01,,1,1,
44,Rusty,Bishop,M,,,United States,United States,2001 Badwater 135,32,44,800,FIN,45:44:17,,1,1,
12,Darris,Blackford,M,Columbus,Ohio,United States,United States,2013 Badwater 135,49,12,1000,FIN,40:16:38,,1,1,
75,Starshine,Blackford,F,Columbus,Ohio,United States,United States,2015 Badwater 135,39,75,2300,FIN,34:58:24,,2,2,1
75,Starshine,Blackford,F,Columbus,Ohio,United States,United States,2023 Badwater 135,47,75,2200,FIN,38:36:35,,2,2,1
71,Jonathan,Blake,M,Illawong,New South Wales,Australia,Australia,2011 Badwater 135,45,71,1000,FIN,32:05:11,,1,1,1
32,Eric,Blanchard,M,Beaurepaire,Alpes,France,France,2012 Badwater 135,44,32,600,FIN,44:09:48,,1,1,
22,Marianne,Blangy,F,,Île-de-France,France,France,2005 Badwater 135,42,22,800,DNF,,,4,2,
16,Marianne,Blangy,F,Chaussin,Burgundy (Bourgogne),France,France,2007 Badwater 135,44,16,800,FIN,46:15:23,,4,2,
16,Marianne,Blangy,F,Chaussin,Franche-Comté,France,France,2008 Badwater 135,44,16,600,FIN,56:49:21,,4,2,
16,Marianne,Blangy,F,Chaussin,Bour,France,France,2009 Badwater 135,46,16,600,FIN,51:54:40,Time on course not affected by the fire.,4,2,
48,Marianne,Blangy,F,Chaussin,,France,France,2014 Badwater 135,51,48,600,FIN,47:20:55,,4,2,
,Frank,Blazic,M,,,United States,United States,1988 Badwater 135,N/A,,AM,DNF,,completed 90 miles,,,
45,Wolfgang,Blei,M,,,Germany,Germany,2001 Badwater 135,48,45,800,DNF,,,,,
27,Ben,Blessing,M,Nampa,Idaho,United States,United States,2011 Badwater 135,27,27,800,FIN,32:46:12,,2,2,1
6,Ben,Blessing,M,Nampa,Idaho,United States,United States,2019 Badwater 135,35,6,2300,FIN,39:12:21,,2,2,1
52,Brenda,Blinn,F,St. Helena,California,United States,United States,2019 Badwater 135,52,52,2130,FIN,43:13:20,,1,1,
36,Lisa,Bliss,F,,Washington,United States,United States,2004 Badwater 135,36,36,1000,FIN,37:41:48,,2,2,1
39,Lisa,Bliss,F,Spokane,Washington,United States,United States,2007 Badwater 135,39,39,1000,FIN,34:33:40,,2,2,1
73,Andre,Blumberg,M,Hong Kong,,Hong Kong,Germany,2014 Badwater 135,44,73,700,FIN,41:06:32,,1,1,
67,Jim,Bodoh,M,,Florida,United States,United States,2003 Badwater 135,50,67,600,FIN,55:54:15,,3,1,
21,Jim,Bodoh,M,,Florida,United States,United States,2004 Badwater 135,51,21,600,FIN,51:59:49,,3,1,
53,Jim,Bodoh,M,Tampa,Florida,United States,United States,2006 Badwater 135,53,53,600,FIN,47:08:45,,3,1,
22,Guenter,Boehnke,M,,Baden-Württemberg,Germany,Germany,2004 Badwater 135,47,22,600,FIN,39:01:04,,2,2,
71,Guenter,Boehnke,M,Hofheim,Baden-Württemberg,Germany,Germany,2006 Badwater 135,49,71,1000,FIN,36:57:35,,2,2,
9,Jeremy,Bolam,M,,,United Kingdom,United Kingdom,2001 Badwater 135,42,9,600,DNF,,,,,
,David,Bolling,M,,,United States,United States,1987 US vs. UK Death Valley to Mt. Whitney Race,N/A,,AM,FIN,126:30:00,,1,,
43,Greg,Bomhoff,M,Granite Bay,California,United States,United States,2011 Badwater 135,43,43,1000,FIN,34:06:03,,1,1,1
31,Raphael,Bonatto,M,Curitiba,Paraíba,Brazil,Brazil,2009 Badwater 135,29,31,800,FIN,,,1,,
31,Raphael,Bonatto,M,Curitiba,,Brazil,Brazil,2016 Badwater 135,36,31,2300,DNF,,,1,,
97,Marco,Bonfiglio,M,Abbiategrasso,,Italy,Italy,2017 Badwater 135,39,97,2300,FIN,25:44:18,,1,1,1
,Adam,Bookspan,M,,,United States,United States,1998 Badwater 135,32,,AM,FIN,55:30:00,,5,3,
,Adam,Bookspan,M,,Florida,United States,United States,1999 Badwater 135,33,,AM,FIN,44:43:00,1st race walker,5,3,
4,Adam,Bookspan,M,Aventura,Florida,United States,United States,2000 Badwater 135,34,4,600,FIN,55:24:47,,5,3,
4,Adam,Bookspan,M,,Florida,United States,United States,2003 Badwater 135,37,4,600,FIN,46:01:42,,5,3,
27,Adam,Bookspan,M,North Miami Beach,Florida,United States,United States,2006 Badwater 135,40,27,600,FIN,44:30:00,,5,3,
37,Bobby,Bostic,M,San Francisco,California,United States,United States,2006 Badwater 135,37,37,600,FIN,41:50:01,,1,1,
62,Lucien,Boulet,M,North Miami Beach,Florida,United States,United States,2023 Badwater 135,52,62,2100,DNF,,,,,
,Bonnie,Boyer,F,,,United States,United States,1991 Badwater 135,N/A,,PM,FIN,36:19:20,"*PM Start Time, Not AM. Women's PM Record.",1,1,
71,John,Boyle-Vulgarian,M,,,United States,United States,2001 Badwater 135,49,71,1000,FIN,55:48:22,,1,,
,Frank,Bozanich,M,,,United States,United States,1988 Badwater 135,N/A,,AM,DNF,,completed 17 miles,,,
,Paul,Braden,M,,,Canada,Canada,1997 Badwater 135,N/A,,AM,FIN,57:11:00,,1,,
47,Bill,Bradley,M,Santa Rosa,California,United States,United States,2008 Badwater 135,47,47,600,FIN,56:02:15,,2,,
47,Bill,Bradley,M,Santa Rosa,California,United States,United States,2009 Badwater 135,48,47,600,FIN,59:11:05,Time on course not affected by the fire.,2,,
65,Marv,Bradley,M,,Colorado,United States,United States,2004 Badwater 135,65,65,800,DNF,,,,,
